,,,,,
"Name","State","2020 Population ","2020 Density","Latitude/Longitude","Estimated Unreported Cases"
"Peoria","Arizona","179,125","394/km²","33.79/-112.31",
"Eugene","Oregon","178,879","1,564/km²","44.06/-123.12",
"Santa Rosa","California","176,867","1,654/km²","38.45/-122.71",
"Oceanside","California","176,800","1,655/km²","33.22/-117.31",
"Pembroke Pines","Florida","176,759","2,066/km²","26.02/-80.34",
"Garden Grove","California","175,618","3,776/km²","33.78/-117.96",
"Fort Collins","Colorado","173,619","1,199/km²","40.55/-105.06",
"Cary","North Carolina","173,000","1,182/km²","35.78/-78.81",
"Springfield","Missouri","169,667","796/km²","37.19/-93.29",
"Alexandria","Virginia","166,362","4,301/km²","38.82/-77.08",
"Hollywood","Florida","164,178","2,327/km²","26.03/-80.16",
"Hayward","California","163,633","1,387/km²","37.63/-122.10",
"Lakewood","Colorado","162,441","1,460/km²","39.70/-105.12",
"Jackson","Mississippi","162,068","563/km²","32.32/-90.21",
"Lancaster","California","159,698","654/km²","34.69/-118.18",
"Salinas","California","159,394","2,607/km²","36.69/-121.63",
"Sunnyvale","California","159,379","2,798/km²","37.39/-122.03",
"Palmdale","California","157,048","572/km²","34.59/-118.11",
"Clarksville","Tennessee","155,571","613/km²","36.57/-87.35",
"Murfreesboro","Tennessee","155,491","1,029/km²","35.85/-86.41",
"Killeen","Texas","154,548","1,101/km²","31.08/-97.73",
"Escondido","California","153,785","1,594/km²","33.13/-117.07",
"Pomona","California","152,886","2,572/km²","34.06/-117.76",
"Pasadena","Texas","152,095","1,346/km²","29.66/-95.15",
"Mcallen","Texas","151,732","1,004/km²","26.23/-98.25",
"Thornton","Colorado","150,199","1,607/km²","39.92/-104.94",
"Joliet","Illinois","150,106","909/km²","41.52/-88.15",
"Savannah","Georgia","149,451","558/km²","32.04/-81.05",
"Macon Bibb County","Georgia","149,439","231/km²","32.81/-83.69",
"Bellevue","Washington","148,564","1,714/km²","47.60/-122.16",
"Naperville","Illinois","148,166","1,478/km²","41.75/-88.16",
"Paterson","New Jersey","146,892","6,741/km²","40.91/-74.16",
"Miramar","Florida","146,649","1,927/km²","25.98/-80.34",
"Torrance","California","145,411","2,742/km²","33.83/-118.34",
"Rockford","Illinois","144,567","867/km²","42.26/-89.06",
"Denton","Texas","144,432","582/km²","33.22/-97.14",
"Waco","Texas","144,156","625/km²","31.56/-97.19",
"Roseville","California","143,683","1,288/km²","38.77/-121.32",
"Surprise","Arizona","142,757","511/km²","33.67/-112.45",
"Fullerton","California","142,585","2,454/km²","33.89/-117.93",
"Charleston","South Carolina","142,109","503/km²","32.82/-79.96",
"Mesquite","Texas","141,616","1,159/km²","32.76/-96.59",
"Olathe","Kansas","141,365","896/km²","38.88/-94.82",
"Bridgeport","Connecticut","141,320","3,398/km²","41.19/-73.20",
"Orange","California","140,796","2,144/km²","33.83/-117.79",
"Syracuse","New York","140,678","2,170/km²","43.04/-76.14",
"Midland","Texas","140,318","728/km²","32.02/-102.11",
"Round Rock","Texas","140,276","1,510/km²","30.53/-97.67",
"Dayton","Ohio","140,145","971/km²","39.78/-84.20",
"West Valley City","Utah","138,954","1,513/km²","40.69/-112.01",
"Gainesville","Florida","137,447","848/km²","29.68/-82.35",
"Visalia","California","136,758","1,409/km²","36.33/-119.33",
"Columbia","South Carolina","135,629","388/km²","34.03/-80.90",
"Carrollton","Texas","135,443","1,439/km²","32.99/-96.90",
"Coral Springs","Florida","135,043","2,243/km²","26.27/-80.26",
