Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Ontario,Canada,2020-05-03 16:32:33,51.2538,-85.3232,18409,1292,0,17117.0,,125.13061769962357,,,7.018306263240807,12408,CAN,,
Prince Edward Island,Canada,2020-05-03 16:32:33,46.5107,-63.4168,27,0,0,27.0,,17.071536058877832,,,0.0,12409,CAN,,
Qinghai,China,2020-05-03 16:32:33,35.7452,95.9956,18,0,18,0.0,,0.29850746268656714,,,0.0,15621,CHN,,
Quebec,Canada,2020-05-03 16:32:33,52.9399,-73.5491,29664,2136,0,27528.0,,347.4482628406753,,,7.200647249190937,12410,CAN,,
Queensland,Australia,2020-05-03 16:32:33,-27.4698,153.0251,1035,6,976,53.0,,20.232626331736878,,,0.5797101449275363,3604,AUS,,
Recovered,Canada,2020-05-03 16:32:33,,,0,0,24429,-24429.0,,,,,,12415,CAN,,
Reunion,France,2020-05-03 16:32:33,-21.1151,55.5364,423,0,300,123.0,,47.24631076679757,,,0.0,638,REU,,
Saint Barthelemy,France,2020-05-03 16:32:33,17.9,-62.8333,6,0,6,0.0,,60.69802731411229,,,0.0,652,BLM,,
Saint Pierre and Miquelon,France,2020-05-03 16:32:33,46.8852,-56.3159,1,0,0,1.0,,17.25625539257981,,,0.0,666,SPM,,
Saskatchewan,Canada,2020-05-03 16:32:33,52.9399,-106.4509,421,7,0,414.0,,35.62766467005059,,,1.66270783847981,12411,CAN,,
Shaanxi,China,2020-05-03 16:32:33,35.1917,108.8701,306,3,255,48.0,,0.7919254658385093,,,0.9803921568627452,15622,CHN,,
Shandong,China,2020-05-03 16:32:33,36.3427,118.1498,787,7,772,8.0,,0.7833184035035334,,,0.8894536213468869,15623,CHN,,
Shanghai,China,2020-05-03 16:32:33,31.202,121.4491,652,7,612,33.0,,2.68976897689769,,,1.0736196319018405,15624,CHN,,
Shanxi,China,2020-05-03 16:32:33,37.5777,112.2922,197,0,176,21.0,,0.5298547606239914,,,0.0,15625,CHN,,
Sichuan,China,2020-05-03 16:32:33,30.6171,102.7103,561,3,558,0.0,,0.6725812252727491,,,0.5347593582887701,15626,CHN,,
Sint Maarten,Netherlands,2020-05-03 16:32:33,18.0425,-63.0548,76,13,44,19.0,,177.23053962035354,,,17.105263157894736,534,SXM,,
South Australia,Australia,2020-05-03 16:32:33,-34.9285,138.6007,438,4,427,7.0,,24.93595217762596,,,0.9132420091324199,3605,AUS,,
