index,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
16,16,58881.0,1214.0,3920.0,53747.0,54961.0,0.02061785635434181,0.06657495626772643,197.0,933.0,6706.0,0.18271604938271602,0.6982758620689655
17,17,65907.0,1375.0,5620.0,58912.0,60287.0,0.02086273081766732,0.08527167068748388,161.0,1700.0,7026.0,0.04771846107963018,-0.18274111675126903
18,18,75456.0,1828.0,6742.0,66886.0,68714.0,0.024226039016115353,0.08935008481764208,453.0,1122.0,9549.0,0.3590947907771136,1.8136645962732918
19,19,69132.0,1900.0,7390.0,59842.0,61742.0,0.027483654458138055,0.10689695076086328,72.0,648.0,-6324.0,-1.6622683003455858,-0.8410596026490066
20,20,75336.0,2273.0,8897.0,64166.0,66439.0,0.030171498354040566,0.11809758946585962,373.0,1507.0,6204.0,-1.9810246679316887,4.180555555555555
21,21,121415.0,5229.0,15193.0,100993.0,106222.0,0.04306716633035457,0.1251328089610015,2956.0,6296.0,46079.0,6.427304964539007,6.924932975871314
22,22,128483.0,5416.0,14208.0,108859.0,114275.0,0.04215343664142338,0.11058272300615646,187.0,-985.0,7068.0,-0.8466112545845179,-0.9367388362652233
23,23,120764.0,4840.0,14859.0,101065.0,105905.0,0.04007816899075883,0.12304163492431519,-576.0,651.0,-7719.0,-2.0921052631578947,-4.080213903743315
24,24,129370.0,5540.0,18085.0,105745.0,111285.0,0.04282291103037798,0.13979284223544872,700.0,3226.0,8606.0,-2.1149112579349656,-2.2152777777777777
25,25,142514.0,6458.0,20639.0,115417.0,121875.0,0.045314846260718245,0.14482085970501143,918.0,2554.0,13144.0,0.5273065303276783,0.3114285714285714
26,26,133762.0,6310.0,22559.0,104893.0,111203.0,0.04717333771923267,0.16865028931983672,-148.0,1920.0,-8752.0,-1.6658551430310409,-1.1612200435729847
27,27,102490.0,3340.0,19868.0,79282.0,82622.0,0.032588545223924285,0.1938530588350083,-2970.0,-2691.0,-31272.0,2.573126142595978,19.06756756756757
28,28,104939.0,3530.0,21978.0,79431.0,82961.0,0.03363859003802209,0.20943595803276188,190.0,2110.0,2449.0,-1.0783128677411102,-1.063973063973064
29,29,83651.0,2366.0,18346.0,62939.0,65305.0,0.028284180703159557,0.2193159675317689,-1164.0,-3632.0,-21288.0,-9.692527562270314,-7.126315789473685
30,30,89817.0,2437.0,19444.0,67936.0,70373.0,0.027132948105592483,0.21648462985849004,71.0,1098.0,6166.0,-1.2896467493423525,-1.0609965635738832
31,31,93676.0,2663.0,22837.0,68176.0,70839.0,0.028427772321619197,0.24378709594773473,226.0,3393.0,3859.0,-0.37414855660071356,2.183098591549296
32,32,96939.0,2636.0,23474.0,70829.0,73465.0,0.027192358080854972,0.24215228133155903,-27.0,637.0,3263.0,-0.15444415651723242,-1.1194690265486726
33,33,104062.0,2927.0,25439.0,75696.0,78623.0,0.028127462474294172,0.2444600334416021,291.0,1965.0,7123.0,1.1829604658289918,-11.777777777777779
34,34,99346.0,2806.0,28042.0,68498.0,71304.0,0.028244720471886135,0.28226601976929117,-121.0,2603.0,-4716.0,-1.6620805840235855,-1.4158075601374571
35,35,102086.0,2851.0,30384.0,68851.0,71702.0,0.02792743373234332,0.297631408812178,45.0,2342.0,2740.0,-1.5810008481764206,-1.3719008264462809
36,36,86046.0,2803.0,33519.0,49724.0,52527.0,0.0325755990981568,0.38954745136322433,-48.0,3135.0,-16040.0,-6.854014598540146,-2.0666666666666664
37,37,87601.0,2884.0,36113.0,48604.0,51488.0,0.03292199860732183,0.41224415246401297,81.0,2594.0,1555.0,-1.0969451371571073,-2.6875
38,38,88485.0,2934.0,39265.0,46286.0,49220.0,0.03315816240040685,0.44374752782957566,50.0,3152.0,884.0,-0.4315112540192926,-0.3827160493827161
39,39,91746.0,3007.0,42364.0,46375.0,49382.0,0.032775270856495106,0.4617531009526301,73.0,3099.0,3261.0,2.6889140271493215,0.45999999999999996
40,40,95108.0,3082.0,45741.0,46285.0,49367.0,0.03240526559279976,0.4809374605711402,75.0,3377.0,3362.0,0.030972094449555287,0.027397260273972712
41,41,96132.0,3124.0,48255.0,44753.0,47877.0,0.03249698331460908,0.501966046685807,42.0,2514.0,1024.0,-0.6954193932183224,-0.43999999999999995
42,42,101965.0,3241.0,50122.0,48602.0,51843.0,0.03178541656450743,0.4915608296964645,117.0,1867.0,5833.0,4.6962890625,1.7857142857142856
43,43,89081.0,3095.0,53097.0,32889.0,35984.0,0.03474366026425388,0.5960530303880738,-146.0,2975.0,-12884.0,-3.2088119321104065,-2.247863247863248
44,44,98930.0,3185.0,56592.0,39153.0,42338.0,0.032194480946123524,0.5720408369554231,90.0,3495.0,9849.0,-1.7644365104004969,-1.6164383561643836
45,45,90130.0,3175.0,56059.0,30896.0,34071.0,0.035226894485742816,0.621979363142128,-10.0,-533.0,-8800.0,-1.8934917250482282,-1.1111111111111112
46,46,93712.0,3250.0,62144.0,28318.0,31568.0,0.034680723920095614,0.6631381253201297,75.0,6085.0,3582.0,-1.4070454545454545,-8.5
47,47,86769.0,3191.0,55841.0,27737.0,30928.0,0.03677580702785557,0.6435593357074532,-59.0,-6303.0,-6943.0,-2.9383026242322723,-1.7866666666666666
48,48,86262.0,3190.0,57901.0,25171.0,28361.0,0.03698036215251212,0.6712225545431361,-1.0,2060.0,-507.0,-0.9269768111767247,-0.9830508474576272
49,49,104678.0,3405.0,77557.0,23716.0,27121.0,0.03252832495844399,0.7409102199124935,215.0,19656.0,18416.0,-37.323471400394475,-216.0
50,50,96515.0,3287.0,70841.0,22387.0,25674.0,0.0340568823498938,0.7339895353053929,-118.0,-6716.0,-8163.0,-1.4432558644656819,-1.5488372093023255
51,51,88649.0,3293.0,64132.0,21224.0,24517.0,0.03714649911448522,0.7234373766201536,6.0,-6709.0,-7866.0,-0.03638368246968027,-1.0508474576271187
52,52,89563.0,3305.0,74116.0,12142.0,15447.0,0.036901399015218335,0.8275292252381006,12.0,9984.0,914.0,-1.1161962878210017,1.0
53,53,79768.0,3176.0,65737.0,10855.0,14031.0,0.039815464848059375,0.8241023969511584,-129.0,-8379.0,-9795.0,-11.716630196936542,-11.75
54,54,75646.0,3189.0,62603.0,9854.0,13043.0,0.04215688866562674,0.827578457552283,13.0,-3134.0,-4122.0,-0.5791730474732006,-1.1007751937984496
55,55,75930.0,3174.0,63750.0,9006.0,12180.0,0.041801659423152907,0.8395890952192809,-15.0,1147.0,284.0,-1.0688985929160602,-2.1538461538461537
56,56,72758.0,3177.0,61536.0,8045.0,11222.0,0.04366530141015421,0.8457626652739217,3.0,-2214.0,-3172.0,-12.169014084507042,-1.2
57,57,73609.0,3183.0,63069.0,7357.0,10540.0,0.04324199486475839,0.8568109877868195,6.0,1533.0,851.0,-1.2682849936948297,1.0
