Province/State,Country/Region,Lat,Long,Date,Observation,Observation Type
,Argentina,-38.4161,-63.6167,2020-03-08,1,Death
,Argentina,-38.4161,-63.6167,2020-03-08,12,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-09,1,Death
,Argentina,-38.4161,-63.6167,2020-03-09,12,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-10,1,Death
,Argentina,-38.4161,-63.6167,2020-03-10,17,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-11,1,Death
,Argentina,-38.4161,-63.6167,2020-03-11,19,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-12,1,Death
,Argentina,-38.4161,-63.6167,2020-03-12,19,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-13,2,Death
,Argentina,-38.4161,-63.6167,2020-03-13,31,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-14,2,Death
,Argentina,-38.4161,-63.6167,2020-03-14,1,Recovered
,Argentina,-38.4161,-63.6167,2020-03-14,34,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-15,2,Death
,Argentina,-38.4161,-63.6167,2020-03-15,1,Recovered
,Argentina,-38.4161,-63.6167,2020-03-15,45,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-16,2,Death
,Argentina,-38.4161,-63.6167,2020-03-16,1,Recovered
,Argentina,-38.4161,-63.6167,2020-03-16,56,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-17,2,Death
,Argentina,-38.4161,-63.6167,2020-03-17,3,Recovered
,Argentina,-38.4161,-63.6167,2020-03-17,68,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-18,2,Death
,Argentina,-38.4161,-63.6167,2020-03-18,3,Recovered
,Argentina,-38.4161,-63.6167,2020-03-18,79,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-19,3,Death
,Argentina,-38.4161,-63.6167,2020-03-19,3,Recovered
,Argentina,-38.4161,-63.6167,2020-03-19,97,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-20,3,Death
,Argentina,-38.4161,-63.6167,2020-03-20,3,Recovered
,Argentina,-38.4161,-63.6167,2020-03-20,128,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-21,4,Death
,Argentina,-38.4161,-63.6167,2020-03-21,3,Recovered
,Argentina,-38.4161,-63.6167,2020-03-21,158,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-22,4,Death
,Argentina,-38.4161,-63.6167,2020-03-22,3,Recovered
,Argentina,-38.4161,-63.6167,2020-03-22,266,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-23,4,Death
,Argentina,-38.4161,-63.6167,2020-03-23,3,Recovered
,Argentina,-38.4161,-63.6167,2020-03-23,301,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-24,6,Death
,Argentina,-38.4161,-63.6167,2020-03-24,52,Recovered
,Argentina,-38.4161,-63.6167,2020-03-24,387,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-25,8,Death
,Argentina,-38.4161,-63.6167,2020-03-25,52,Recovered
,Argentina,-38.4161,-63.6167,2020-03-25,387,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-26,9,Death
,Argentina,-38.4161,-63.6167,2020-03-26,63,Recovered
,Argentina,-38.4161,-63.6167,2020-03-26,502,Confirmed
,Argentina,-38.4161,-63.6167,2020-03-27,13,Death
,Argentina,-38.4161,-63.6167,2020-03-27,72,Recovered
,Argentina,-38.4161,-63.6167,2020-03-27,589,Confirmed
,Armenia,40.0691,45.0382,2020-03-01,1,Confirmed
,Armenia,40.0691,45.0382,2020-03-02,1,Confirmed
