Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Montenegro,2020-05-15 14:32:16,42.708678000000006,19.37439,324.0,9.0,309.0,6.0,51.58726367778977,,,2.7777777777777777,499,MNE
Morocco,2020-05-15 14:32:16,31.7917,-7.0926,6623.0,190.0,3383.0,3050.0,17.943375442874636,,,2.868790578287785,504,MAR
Mozambique,2020-05-15 14:32:16,-18.665695,35.529562,115.0,0.0,35.0,80.0,0.3679360085693896,,,0.0,508,MOZ
Namibia,2020-05-15 14:32:16,-22.9576,18.4904,16.0,0.0,13.0,3.0,0.6296941732823911,,,0.0,516,NAM
Nepal,2020-05-15 14:32:16,28.1667,84.25,258.0,0.0,36.0,222.0,0.8854779150825307,,,0.0,524,NPL
New Zealand,2020-05-15 14:32:16,-40.9006,174.886,1498.0,21.0,1421.0,56.0,31.06444669927811,,,1.4018691588785046,554,NZL
Nicaragua,2020-05-15 14:32:16,12.865416,-85.207229,25.0,8.0,7.0,10.0,0.37738389633475705,,,32.0,558,NIC
Niger,2020-05-15 14:32:16,17.607789,8.081666,876.0,50.0,677.0,149.0,3.618842370331838,,,5.707762557077626,562,NER
Nigeria,2020-05-15 14:32:16,9.082,8.6753,5162.0,167.0,1180.0,3815.0,2.504128428277097,,,3.235180162727625,566,NGA
North Macedonia,2020-05-15 14:32:16,41.6086,21.7453,1740.0,97.0,1251.0,392.0,83.51812919390606,,,5.574712643678161,807,MKD
Oman,2020-05-15 14:32:16,21.512583,55.92325500000001,4625.0,19.0,1350.0,3256.0,90.56867729783016,,,0.4108108108108108,512,OMN
Pakistan,2020-05-15 14:32:16,30.3753,69.3451,37218.0,803.0,10155.0,26260.0,16.84893261414313,,,2.157558170777581,586,PAK
Panama,2020-05-15 14:32:16,8.538,-80.7821,9118.0,260.0,6080.0,2778.0,211.32074772038732,,,2.8515025224830013,591,PAN
Papua New Guinea,2020-05-15 14:32:16,-6.314993,143.95555,8.0,0.0,8.0,0.0,0.08941517668383027,,,0.0,598,PNG
Paraguay,2020-05-15 14:32:16,-23.4425,-58.4438,754.0,11.0,184.0,559.0,10.57128396235277,,,1.4588859416445623,600,PRY
Peru,2020-05-15 14:32:16,-9.19,-75.0152,80604.0,2267.0,25151.0,53186.0,244.4631095268369,,,2.8125155079152404,604,PER
Philippines,2020-05-15 14:32:16,12.879721,121.77401699999999,12091.0,806.0,2460.0,8825.0,11.033838549782567,,,6.666115292366222,608,PHL
Poland,2020-05-15 14:32:16,51.9194,19.1451,17850.0,893.0,6918.0,10039.0,47.164071916093924,,,5.002801120448178,616,POL
