index,Country/Region,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
74,Austria,3,9.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,6.0,-1.3,-1.0
697,Martinique,3,15.0,1.0,0.0,14.0,15.0,0.06666666666666667,0.0,1.0,0.0,6.0,0.0,inf
784,Panama,3,36.0,1.0,0.0,35.0,36.0,0.027777777777777776,0.0,0.0,0.0,21.0,2.5,-1.0
317,Finland,3,14.0,0.0,14.0,0.0,0.0,0.0,1.0,-1.0,14.0,-22.0,-2.0476190476190474,-inf
173,Chile,3,16.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,-14.0,2.0,-1.0909090909090908,-1.0
181,China,3,1399.0,42.0,39.0,1318.0,1360.0,0.03002144388849178,0.027877055039313797,42.0,39.0,1359.0,41.46875,inf
795,Peru,3,22.0,0.0,0.0,22.0,22.0,0.0,0.0,-42.0,-39.0,-1377.0,-2.013245033112583,-2.0
817,Poland,3,16.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,-6.0,-0.9956427015250545,-1.0
497,Iran,3,28.0,5.0,0.0,23.0,28.0,0.17857142857142858,0.0,5.0,0.0,-12.0,-2.2,inf
460,Iceland,3,6.0,0.0,0.0,6.0,6.0,0.0,0.0,-5.0,0.0,-22.0,0.8333333333333333,-2.0
141,Burkina Faso,3,30.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,24.0,-2.090909090909091,-1.0
1016,Taiwan*,3,59.0,1.0,20.0,38.0,39.0,0.01694915254237288,0.3389830508474576,1.0,18.0,49.0,-7.125,inf
411,Honduras,3,6.0,0.0,0.0,6.0,6.0,0.0,0.0,-1.0,-20.0,-53.0,-2.0816326530612246,-2.0
627,Jordan,3,8.0,0.0,1.0,7.0,7.0,0.0,0.125,0.0,1.0,2.0,-1.0377358490566038,-1.0
407,Guyana,3,8.0,2.0,0.0,6.0,8.0,0.25,0.0,2.0,-1.0,0.0,-1.0,inf
631,Kazakhstan,3,10.0,0.0,0.0,10.0,10.0,0.0,0.0,-2.0,0.0,2.0,inf,-2.0
398,Guadeloupe,3,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,8.0,3.0,-1.0
561,Italy,3,62.0,2.0,1.0,59.0,61.0,0.03225806451612903,0.016129032258064516,2.0,1.0,23.0,-6.75,inf
854,San Marino,3,10.0,1.0,0.0,9.0,10.0,0.1,0.0,-1.0,-1.0,-52.0,-3.260869565217391,-1.5
136,Bulgaria,3,41.0,2.0,0.0,39.0,41.0,0.04878048780487805,0.0,1.0,0.0,31.0,-1.5961538461538463,-2.0
236,Colombia,3,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-2.0,0.0,-38.0,-2.225806451612903,-3.0
243,Costa Rica,3,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,15.0,-1.3947368421052633,-1.0
1090,Ukraine,3,7.0,1.0,0.0,6.0,7.0,0.14285714285714285,0.0,1.0,0.0,-24.0,-3.4,inf
33,Argentina,3,8.0,0.0,0.0,8.0,8.0,0.0,0.0,-1.0,0.0,1.0,-1.0416666666666667,-2.0
902,South Africa,3,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-1.0
1102,United Kingdom,3,1557.0,57.0,20.0,1480.0,1537.0,0.036608863198458574,0.012845215157353885,57.0,20.0,1539.0,-46.26470588235294,inf
109,Belarus,4,27.0,0.0,3.0,24.0,24.0,0.0,0.1111111111111111,-57.0,-17.0,-1530.0,-1.9941520467836256,-2.0
646,Latvia,4,8.0,0.0,1.0,7.0,7.0,0.0,0.125,0.0,-2.0,-19.0,-0.9875816993464053,-1.0
1052,Turkey,4,47.0,1.0,0.0,46.0,47.0,0.02127659574468085,0.0,1.0,-1.0,39.0,-3.0526315789473686,inf
635,Kuwait,4,135.0,0.0,0.0,135.0,135.0,0.0,0.0,-1.0,0.0,88.0,1.2564102564102564,-2.0
105,Bangladesh,4,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,-130.0,-2.4772727272727275,-1.0
855,San Marino,4,16.0,1.0,0.0,15.0,16.0,0.0625,0.0,1.0,0.0,6.0,0.19999999999999996,inf
