index,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
29,29,83302.0,2365.0,18126.0,62811.0,65176.0,0.028390674893760053,0.21759381527454322,119.0,1858.0,-3230.0,-0.7979987492182614,-1.1087751371115173
30,30,89797.0,2437.0,19444.0,67916.0,70353.0,0.027138991280332304,0.21653284630889674,72.0,1318.0,6495.0,-3.0108359133126936,-0.39495798319327735
31,31,93675.0,2663.0,22837.0,68175.0,70838.0,0.02842807579396851,0.243789698425407,226.0,3393.0,3878.0,-0.4029253271747498,2.138888888888889
32,32,97613.0,2636.0,23594.0,71383.0,74019.0,0.027004599797158167,0.24170960835134664,-27.0,757.0,3938.0,0.015471892728210479,-1.1194690265486726
33,33,93179.0,2684.0,25427.0,65068.0,67752.0,0.028804773607787163,0.2728833750093905,48.0,1833.0,-4434.0,-2.1259522600304726,-2.7777777777777777
34,34,99226.0,2806.0,27964.0,68456.0,71262.0,0.028278878519742808,0.28182129683752244,122.0,2537.0,6047.0,-2.363779882724402,1.5416666666666665
35,35,85583.0,2804.0,30224.0,52555.0,55359.0,0.03276351611885538,0.3531542479230688,-2.0,2260.0,-13643.0,-3.256160079378204,-1.0163934426229508
36,36,84710.0,2788.0,33492.0,48430.0,51218.0,0.032912288985952075,0.39537244717270686,-16.0,3268.0,-873.0,-0.9360111412445943,7.0
37,37,87601.0,2884.0,36113.0,48604.0,51488.0,0.03292199860732183,0.41224415246401297,96.0,2621.0,2891.0,-4.311569301260023,-7.0
38,38,88485.0,2934.0,39265.0,46286.0,49220.0,0.03315816240040685,0.44374752782957566,50.0,3152.0,884.0,-0.6942234520927015,-0.47916666666666663
39,39,91694.0,3007.0,42364.0,46323.0,49330.0,0.032793857831482975,0.46201496281108906,73.0,3099.0,3209.0,2.6300904977375565,0.45999999999999996
40,40,95097.0,3081.0,45741.0,46275.0,49356.0,0.032398498375343074,0.4809930912647087,74.0,3377.0,3403.0,0.060454970395761976,0.013698630136986356
41,41,96119.0,3124.0,48255.0,44740.0,47864.0,0.032501378499568245,0.5020339370988046,43.0,2514.0,1022.0,-0.6996767558037026,-0.41891891891891897
42,42,88361.0,3042.0,50014.0,35305.0,38347.0,0.03442695306752979,0.5660189450096762,-82.0,1759.0,-7758.0,-8.590998043052839,-2.9069767441860463
43,43,89081.0,3095.0,53097.0,32889.0,35984.0,0.03474366026425388,0.5960530303880738,53.0,3083.0,720.0,-1.0928074245939676,-1.6463414634146343
44,44,98930.0,3185.0,56592.0,39153.0,42338.0,0.032194480946123524,0.5720408369554231,90.0,3495.0,9849.0,12.679166666666667,0.6981132075471699
45,45,89785.0,3175.0,55945.0,30665.0,33840.0,0.03536225427409924,0.6230996268864509,-10.0,-647.0,-9145.0,-1.9285206619961417,-1.1111111111111112
46,46,93712.0,3250.0,62144.0,28318.0,31568.0,0.034680723920095614,0.6631381253201297,75.0,6199.0,3927.0,-1.42941498086386,-8.5
47,47,86769.0,3191.0,55841.0,27737.0,30928.0,0.03677580702785557,0.6435593357074532,-59.0,-6303.0,-6943.0,-2.768016297428062,-1.7866666666666666
48,48,86262.0,3190.0,57901.0,25171.0,28361.0,0.03698036215251212,0.6712225545431361,-1.0,2060.0,-507.0,-0.9269768111767247,-0.9830508474576272
49,49,103297.0,3395.0,76186.0,23716.0,27111.0,0.03286639495822725,0.7375432006737853,205.0,18285.0,17035.0,-34.599605522682445,-206.0
50,50,95580.0,3286.0,69907.0,22387.0,25673.0,0.034379577317430424,0.7313977819627537,-109.0,-6279.0,-7717.0,-1.4530085118872909,-1.5317073170731708
51,51,78709.0,3167.0,61999.0,13543.0,16710.0,0.040236821710350784,0.7876989924913288,-119.0,-7908.0,-16871.0,1.1862122586497343,0.09174311926605494
52,52,87272.0,3279.0,71852.0,12141.0,15420.0,0.03757218810156751,0.8233110275918966,112.0,9853.0,8563.0,-1.5075573469266788,-1.9411764705882353
53,53,78561.0,3170.0,64536.0,10855.0,14025.0,0.04035081019844452,0.8214763050368503,-109.0,-7316.0,-8711.0,-2.0172836622678965,-1.9732142857142856
54,54,75134.0,3180.0,62103.0,9851.0,13031.0,0.042324380440280036,0.8265632070700348,10.0,-2433.0,-3427.0,-0.6065893697623694,-1.091743119266055
55,55,75930.0,3174.0,63750.0,9006.0,12180.0,0.041801659423152907,0.8395890952192809,-6.0,1647.0,796.0,-1.2322731251823753,-1.6
56,56,71988.0,3169.0,60783.0,8036.0,11205.0,0.04402122575984886,0.8443490581763627,-5.0,-2967.0,-3942.0,-5.952261306532663,-0.16666666666666663
